Category,Sign-Language Family,Country,Language of Country,Code,,Notes
Ghardaia Sign Language,Village Sign,Israel,"Hebrew, Arabic","iw, ar",village,"(Algerian Jewish Sign Language) deaf & hearing, Algeria _ Israel"
Iraqi Sign Language,"Arab Sign, Iraqi Sign Language ",Iraq,Arabic ,ar,Arab,_______ ______ ___ _______ Perhaps close to Levantine.
Israeli Sign Language,,Israel,"Hebrew, Arabic","iw, ar",local,___ ______ _______
Jordanian Sign Language,"Arab Sign, Levantine Arabic Sign Language ",Levant,,,"Arab, Levantine",Lughat il-Ishaarah il-Urduniah / ________ ______ ___ _______ (LIU)
Kuwaiti Sign Language,"Arab Sign, Kuwaiti Sign Language ",Kuwait,Arabic,ar,Arab?,___ _______ ________
Lebanese Sign Language,"Arab Sign, Levantine Arabic Sign Language ",Lebanon,Arabic,ar,"Arab, Levantine",Lughat al-Isharat al-Lubnaniya / ___ ________ _________
Mardin Sign Language,Village Sign,"Mardin, Turkey",Turkish,tr,village,one extended family in Turkey[13]
Omani Sign Language,Arab Sign Language,Oman,Arabic,ar,Arab?,
Palestinian Sign Language,"Arab Sign, Levantine Arabic Sign Language ",Levant,,,"Arab, Levantine","""___ ________ __________"""
Persian Sign Language,Village Sign,Iran,Persian,fa,,
Qatari Unified Sign Language,Arab Sign Language,Qatar,Arabic,ar,Arab?,
Saudi Sign Language,Arab Sign Language,Saudi Arabia,Arabic,ar,isolate,"""___ _______ ________"""
Seraglio Sign Language,Village Sign,"Instanbul, Turkey",Turkish,tr,,Ottoman court
Syrian Sign Language,Arab Sign Language,Levant,,,"Arab, Levantine",
Turkish Sign Language,"Arab Sign, Turkish Sign Language ",Turkey,"Turkish, Northern Cyprus",tr,,"""Türk __aret Dili"" (T_D)"
Yemeni Sign Language,"Arab Sign, Yemeni Sign Language ",Yemen,Arabic,ar,Arab,"""___ _______ _______"""
